Person Number,Location Code,Craft Vs Professionals,Area,Business Function
509956,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
505128,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
506053,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
501778,One McDermott Center,PROFESSIONAL,"North, Central and South America",Engineering
539910,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
538338,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
525746,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Supply Chain
512007,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
535939,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
500204,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
505706,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
538659,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
517519,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
542635,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
523282,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536332,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
537101,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Human Resources
517444,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
523153,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
544004,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
546978,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
525235,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
515118,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
542013,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
516985,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
540429,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
512640,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Information Technology
536775,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
536766,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
543406,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
507219,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Commercial
518799,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
535398,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
524116,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Commercial
546260,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
516725,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
523655,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
546968,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
536118,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
547586,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
521367,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
518647,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
518869,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
538194,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
526709,Campeche MX,PROFESSIONAL,"North, Central and South America",QHSES
536149,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
524238,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
509783,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Human Resources
514756,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
500211,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
540921,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
547357,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Human Resources
511295,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
543559,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
519117,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
507468,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
535772,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
518055,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
518820,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
519870,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
521908,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
535449,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
540932,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
543706,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
544961,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
541566,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
508260,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
522143,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
539805,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
545043,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
536859,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536144,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
539665,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
535278,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
547176,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Supply Chain
505626,Campeche MX,PROFESSIONAL,"North, Central and South America",Project Management & Controls
537415,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
539030,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
520727,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
535767,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
537397,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
543733,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
524045,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
536830,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
524915,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Project Management & Controls
537513,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
545926,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Finance
504754,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
521822,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
541903,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
523670,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
500815,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Commercial
513529,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
502968,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
516953,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
523015,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
524927,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Commercial
501333,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
521842,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
537884,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
518995,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
500782,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
513250,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
521473,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Finance
541662,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
517772,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
545066,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
508081,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
522268,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
518824,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
518929,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
520148,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
537636,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
501550,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
509112,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536157,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
511618,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
543695,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
502644,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
537374,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
510641,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
505607,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
510124,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
537160,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536657,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
536672,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
506049,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Human Resources
521830,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
511783,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
510768,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
542374,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
